x,y
0.96624,0.00554564
0.929683,0.912222
0.0260856,0.29659
0.92876,0.441681
0.966657,0.44232
0.935778,0.876834
0.94769,0.413798
0.9352,0.408635
0.752311,0.169521
0.854685,0.382224
0.936655,0.480003
0.961686,0.965214
0.895215,0.436673
0.922816,0.983018
0.846057,0.103934
0.878087,0.0105596
0.843807,0.0719564
0.93059,0.986182
0.982624,0.452981
0.992593,0.033628
0.00234379,0.398636
0.95537,0.919427
0.996927,0.172015
